Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
LA CENA,Manolo Gómez Pereira,106,01,18:00,2026-01-06,Renoir Princesa
LA VOZ DE HIND,Kaouther Ben Hania,89,08,18:40,2026-01-06,Renoir Princesa
LA VOZ DE HIND,Kaouther Ben Hania,89,03,22:10,2026-01-06,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,03,16:00,2026-01-06,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,18:00,2026-01-06,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,20:10,2026-01-06,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,22:30,2026-01-06,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,16:00,2026-01-06,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,19:00,2026-01-06,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,21:50,2026-01-06,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,16:00,2026-01-06,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,18:10,2026-01-06,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,20:20,2026-01-06,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,22:30,2026-01-06,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,06,16:00,2026-01-06,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,07,17:50,2026-01-06,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,07,20:20,2026-01-06,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,06,22:20,2026-01-06,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,16:00,2026-01-06,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,18:05,2026-01-06,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,20:10,2026-01-06,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,22:15,2026-01-06,Renoir Princesa
AVATAR: FUEGO Y CENIZA,James Cameron,,02,16:00,2026-01-07,Renoir Princesa
AVATAR: FUEGO Y CENIZA,James Cameron,,08,20:30,2026-01-07,Renoir Princesa
BUGONIA,Yorgos Lanthimos,118,01,20:00,2026-01-07,Renoir Princesa
BUGONIA,Yorgos Lanthimos,118,01,22:10,2026-01-07,Renoir Princesa
EL MÉDICO II,Philipp Stölzl,142,08,16:00,2026-01-07,Renoir Princesa
EL MÉDICO II,Philipp Stölzl,142,02,19:30,2026-01-07,Renoir Princesa
EL MÉDICO II,Philipp Stölzl,142,02,22:10,2026-01-07,Renoir Princesa
ETERNITY,David Freyne,113,03,20:00,2026-01-07,Renoir Princesa
GOLPES,Rafael Cobos,101,05,16:00,2026-01-07,Renoir Princesa
GOLPES,Rafael Cobos,101,03,18:00,2026-01-07,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,07,16:00,2026-01-07,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,06,18:30,2026-01-07,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,06,20:25,2026-01-07,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,07,22:45,2026-01-07,Renoir Princesa
LA ASISTENTA,Paul Feig,131,11,16:10,2026-01-07,Renoir Princesa
LA ASISTENTA,Paul Feig,131,11,19:10,2026-01-07,Renoir Princesa
LA ASISTENTA,Paul Feig,131,11,22:00,2026-01-07,Renoir Princesa
LA CENA,Manolo Gómez Pereira,106,01,16:00,2026-01-07,Renoir Princesa
LA CENA,Manolo Gómez Pereira,106,01,18:00,2026-01-07,Renoir Princesa
LA VOZ DE HIND,Kaouther Ben Hania,89,08,18:40,2026-01-07,Renoir Princesa
LA VOZ DE HIND,Kaouther Ben Hania,89,03,22:10,2026-01-07,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,03,16:00,2026-01-07,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,18:00,2026-01-07,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,20:10,2026-01-07,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,22:30,2026-01-07,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,16:00,2026-01-07,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,19:00,2026-01-07,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,21:50,2026-01-07,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,16:00,2026-01-07,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,18:10,2026-01-07,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,20:20,2026-01-07,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,22:30,2026-01-07,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,06,16:00,2026-01-07,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,07,17:50,2026-01-07,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,07,20:20,2026-01-07,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,06,22:20,2026-01-07,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,16:00,2026-01-07,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,18:05,2026-01-07,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,20:10,2026-01-07,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,22:15,2026-01-07,Renoir Princesa
AVATAR: FUEGO Y CENIZA,James Cameron,,02,16:00,2026-01-08,Renoir Princesa
AVATAR: FUEGO Y CENIZA,James Cameron,,08,20:30,2026-01-08,Renoir Princesa
BUGONIA,Yorgos Lanthimos,118,01,20:00,2026-01-08,Renoir Princesa
BUGONIA,Yorgos Lanthimos,118,01,22:10,2026-01-08,Renoir Princesa
EL MÉDICO II,Philipp Stölzl,142,08,16:00,2026-01-08,Renoir Princesa
EL MÉDICO II,Philipp Stölzl,142,02,19:30,2026-01-08,Renoir Princesa
EL MÉDICO II,Philipp Stölzl,142,02,22:10,2026-01-08,Renoir Princesa
ETERNITY,David Freyne,113,03,20:00,2026-01-08,Renoir Princesa
GOLPES,Rafael Cobos,101,05,16:00,2026-01-08,Renoir Princesa
GOLPES,Rafael Cobos,101,03,18:00,2026-01-08,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,07,16:00,2026-01-08,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,06,18:30,2026-01-08,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,06,20:25,2026-01-08,Renoir Princesa
HOMO ARGENTUM,"Gaston Duprat, Mariano Cohn",99,07,22:45,2026-01-08,Renoir Princesa
LA ASISTENTA,Paul Feig,131,11,16:10,2026-01-08,Renoir Princesa
LA ASISTENTA,Paul Feig,131,11,19:10,2026-01-08,Renoir Princesa
LA ASISTENTA,Paul Feig,131,11,22:00,2026-01-08,Renoir Princesa
LA CENA,Manolo Gómez Pereira,106,01,16:00,2026-01-08,Renoir Princesa
LA CENA,Manolo Gómez Pereira,106,01,18:00,2026-01-08,Renoir Princesa
LA VOZ DE HIND,Kaouther Ben Hania,89,08,18:40,2026-01-08,Renoir Princesa
LA VOZ DE HIND,Kaouther Ben Hania,89,03,22:10,2026-01-08,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,03,16:00,2026-01-08,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,18:00,2026-01-08,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,20:10,2026-01-08,Renoir Princesa
LOS DOMINGOS,Alauda Ruiz De Azúa,115,05,22:30,2026-01-08,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,16:00,2026-01-08,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,19:00,2026-01-08,Renoir Princesa
NÚREMBERG,James Vanderbilt,148,10,21:50,2026-01-08,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,16:00,2026-01-08,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,18:10,2026-01-08,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,20:20,2026-01-08,Renoir Princesa
RONDALLAS,Daniel Sánchez Arévalo,112,09,22:30,2026-01-08,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,06,16:00,2026-01-08,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,07,17:50,2026-01-08,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,07,20:20,2026-01-08,Renoir Princesa
VALOR SENTIMENTAL,Joachim Trier,133,06,22:20,2026-01-08,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,16:00,2026-01-08,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,18:05,2026-01-08,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,20:10,2026-01-08,Renoir Princesa
VIDA PRIVADA,Rebecca Zlotowski,103,04,22:15,2026-01-08,Renoir Princesa
BLUE MOON,Richard Linklater,100,05,20:30,2026-01-04,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,18:20,2026-01-04,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,22:30,2026-01-04,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,05,16:00,2026-01-04,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,18:00,2026-01-04,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,20:20,2026-01-04,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,22:40,2026-01-04,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,16:00,2026-01-04,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,18:10,2026-01-04,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,20:20,2026-01-04,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,22:30,2026-01-04,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,04,16:00,2026-01-04,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,18:25,2026-01-04,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,20:35,2026-01-04,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,22:35,2026-01-04,Renoir Plaza de España
FRONTERA,Judith Collel,101,03,16:00,2026-01-04,Renoir Plaza de España
LOS COLORES DEL TIEMPO,Cédric Klapisch,125,02,16:00,2026-01-04,Renoir Plaza de España
LOS COLORES DEL TIEMPO,Cédric Klapisch,125,04,18:00,2026-01-04,Renoir Plaza de España
UN SIMPLE ACCIDENTE,Jafar Panahi,105,04,20:25,2026-01-04,Renoir Plaza de España
UN SIMPLE ACCIDENTE,Jafar Panahi,105,04,22:30,2026-01-04,Renoir Plaza de España
BLUE MOON,Richard Linklater,100,05,20:30,2026-01-05,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,18:20,2026-01-05,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,22:30,2026-01-05,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,05,16:00,2026-01-05,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,18:00,2026-01-05,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,20:20,2026-01-05,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,22:40,2026-01-05,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,16:00,2026-01-05,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,18:10,2026-01-05,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,20:20,2026-01-05,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,22:30,2026-01-05,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,04,16:00,2026-01-05,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,18:25,2026-01-05,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,20:35,2026-01-05,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,22:35,2026-01-05,Renoir Plaza de España
FRONTERA,Judith Collel,101,03,16:00,2026-01-05,Renoir Plaza de España
LOS COLORES DEL TIEMPO,Cédric Klapisch,125,02,16:00,2026-01-05,Renoir Plaza de España
LOS COLORES DEL TIEMPO,Cédric Klapisch,125,04,18:00,2026-01-05,Renoir Plaza de España
UN SIMPLE ACCIDENTE,Jafar Panahi,105,04,20:25,2026-01-05,Renoir Plaza de España
UN SIMPLE ACCIDENTE,Jafar Panahi,105,04,22:30,2026-01-05,Renoir Plaza de España
BLUE MOON,Richard Linklater,100,05,20:30,2026-01-06,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,18:20,2026-01-06,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,22:30,2026-01-06,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,05,16:00,2026-01-06,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,18:00,2026-01-06,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,20:20,2026-01-06,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,22:40,2026-01-06,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,16:00,2026-01-06,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,18:10,2026-01-06,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,20:20,2026-01-06,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,22:30,2026-01-06,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,04,16:00,2026-01-06,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,18:25,2026-01-06,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,20:35,2026-01-06,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,22:35,2026-01-06,Renoir Plaza de España
FRONTERA,Judith Collel,101,03,16:00,2026-01-06,Renoir Plaza de España
LOS COLORES DEL TIEMPO,Cédric Klapisch,125,02,16:00,2026-01-06,Renoir Plaza de España
LOS COLORES DEL TIEMPO,Cédric Klapisch,125,04,18:00,2026-01-06,Renoir Plaza de España
UN SIMPLE ACCIDENTE,Jafar Panahi,105,04,20:25,2026-01-06,Renoir Plaza de España
UN SIMPLE ACCIDENTE,Jafar Panahi,105,04,22:30,2026-01-06,Renoir Plaza de España
BLUE MOON,Richard Linklater,100,05,20:30,2026-01-07,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,18:20,2026-01-07,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,22:30,2026-01-07,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,05,16:00,2026-01-07,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,18:00,2026-01-07,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,20:20,2026-01-07,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,22:40,2026-01-07,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,16:00,2026-01-07,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,18:10,2026-01-07,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,20:20,2026-01-07,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,22:30,2026-01-07,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,04,16:00,2026-01-07,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,18:25,2026-01-07,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,20:35,2026-01-07,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,02,22:35,2026-01-07,Renoir Plaza de España
FRONTERA,Judith Collel,101,03,16:00,2026-01-07,Renoir Plaza de España
LOS COLORES DEL TIEMPO,Cédric Klapisch,125,02,16:00,2026-01-07,Renoir Plaza de España
LOS COLORES DEL TIEMPO,Cédric Klapisch,125,04,18:00,2026-01-07,Renoir Plaza de España
UN SIMPLE ACCIDENTE,Jafar Panahi,105,04,20:25,2026-01-07,Renoir Plaza de España
UN SIMPLE ACCIDENTE,Jafar Panahi,105,04,22:30,2026-01-07,Renoir Plaza de España
BLUE MOON,Richard Linklater,100,05,20:30,2026-01-08,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,18:20,2026-01-08,Renoir Plaza de España
CIUDAD SIN SUEÑO,Guillermo Galoe,97,05,22:30,2026-01-08,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,05,16:00,2026-01-08,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,18:00,2026-01-08,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,20:20,2026-01-08,Renoir Plaza de España
EL EXTRANJERO,François Ozon,122,03,22:40,2026-01-08,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,16:00,2026-01-08,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,18:10,2026-01-08,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,20:20,2026-01-08,Renoir Plaza de España
FATHER MOTHER SISTER BROTHER,Jim Jarmusch,110,01,22:30,2026-01-08,Renoir Plaza de España
FLORES PARA ANTONIO,"Elena Molina, Isaki Lacuesta",98,04,16:00,2026-01-08,Renoir Plaza de España
