Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
WARFARE: TIEMPO DE GUERRA,"Alex Garland, Ray Mendoza",95,04,22:45,2025-05-24,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,01,17:45,2025-05-25,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,03,21:50,2025-05-25,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,16:10,2025-05-25,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,04,18:35,2025-05-25,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,20:20,2025-05-25,Renoir Princesa
ANORA,Sean Baker,139,08,20:30,2025-05-25,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,10,21:50,2025-05-25,Renoir Princesa
CÓNCLAVE,Edward Berger,120,08,18:15,2025-05-25,Renoir Princesa
ESTOCOLMO 1520. EL REY TIRANO,Mikael Håfström,117,08,16:00,2025-05-25,Renoir Princesa
HOMBRES ÍNTEGROS,Alejandro AndraPease,89,02,19:40,2025-05-25,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,16:00,2025-05-25,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,18:10,2025-05-25,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,20:20,2025-05-25,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,22:30,2025-05-25,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,16:00,2025-05-25,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,20:20,2025-05-25,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,16:00,2025-05-25,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,17:45,2025-05-25,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,20:10,2025-05-25,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,22:00,2025-05-25,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,16:00,2025-05-25,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,11,19:00,2025-05-25,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,20:35,2025-05-25,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,02,21:35,2025-05-25,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,20:25,2025-05-25,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,22:25,2025-05-25,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,17:50,2025-05-25,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,19:50,2025-05-25,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,16:00,2025-05-25,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,18:10,2025-05-25,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,16:00,2025-05-25,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,17:30,2025-05-25,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,06,19:05,2025-05-25,Renoir Princesa
TRAS EL VERANO,Yolanda Centeno,93,03,16:00,2025-05-25,Renoir Princesa
TRAS EL VERANO,Yolanda Centeno,93,01,22:10,2025-05-25,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,02,16:00,2025-05-25,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,02,17:50,2025-05-25,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,11,22:10,2025-05-25,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,16:00,2025-05-25,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,17:55,2025-05-25,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,19:50,2025-05-25,Renoir Princesa
WARFARE: TIEMPO DE GUERRA,"Alex Garland, Ray Mendoza",95,04,22:45,2025-05-25,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,01,17:45,2025-05-26,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,03,21:50,2025-05-26,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,16:10,2025-05-26,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,04,18:35,2025-05-26,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,20:20,2025-05-26,Renoir Princesa
ANORA,Sean Baker,139,08,20:30,2025-05-26,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,10,21:50,2025-05-26,Renoir Princesa
CÓNCLAVE,Edward Berger,120,08,18:15,2025-05-26,Renoir Princesa
ESTOCOLMO 1520. EL REY TIRANO,Mikael Håfström,117,08,16:00,2025-05-26,Renoir Princesa
HOMBRES ÍNTEGROS,Alejandro AndraPease,89,02,19:40,2025-05-26,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,16:00,2025-05-26,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,18:10,2025-05-26,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,20:20,2025-05-26,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,22:30,2025-05-26,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,16:00,2025-05-26,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,20:20,2025-05-26,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,16:00,2025-05-26,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,17:45,2025-05-26,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,20:10,2025-05-26,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,22:00,2025-05-26,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,16:00,2025-05-26,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,11,19:00,2025-05-26,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,20:35,2025-05-26,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,02,21:35,2025-05-26,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,20:25,2025-05-26,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,22:25,2025-05-26,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,17:50,2025-05-26,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,19:50,2025-05-26,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,16:00,2025-05-26,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,18:10,2025-05-26,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,16:00,2025-05-26,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,17:30,2025-05-26,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,06,19:05,2025-05-26,Renoir Princesa
TRAS EL VERANO,Yolanda Centeno,93,03,16:00,2025-05-26,Renoir Princesa
TRAS EL VERANO,Yolanda Centeno,93,01,22:10,2025-05-26,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,02,16:00,2025-05-26,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,02,17:50,2025-05-26,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,11,22:10,2025-05-26,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,16:00,2025-05-26,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,17:55,2025-05-26,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,19:50,2025-05-26,Renoir Princesa
WARFARE: TIEMPO DE GUERRA,"Alex Garland, Ray Mendoza",95,04,22:45,2025-05-26,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,01,17:45,2025-05-27,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,03,21:50,2025-05-27,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,16:10,2025-05-27,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,04,18:35,2025-05-27,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,20:20,2025-05-27,Renoir Princesa
ANORA,Sean Baker,139,08,20:30,2025-05-27,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,10,21:50,2025-05-27,Renoir Princesa
CÓNCLAVE,Edward Berger,120,08,18:15,2025-05-27,Renoir Princesa
ESTOCOLMO 1520. EL REY TIRANO,Mikael Håfström,117,08,16:00,2025-05-27,Renoir Princesa
HOMBRES ÍNTEGROS,Alejandro AndraPease,89,02,19:40,2025-05-27,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,16:00,2025-05-27,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,18:10,2025-05-27,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,20:20,2025-05-27,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,22:30,2025-05-27,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,16:00,2025-05-27,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,20:20,2025-05-27,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,16:00,2025-05-27,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,17:45,2025-05-27,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,20:10,2025-05-27,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,22:00,2025-05-27,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,16:00,2025-05-27,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,11,19:00,2025-05-27,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,20:35,2025-05-27,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,02,21:35,2025-05-27,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,22:25,2025-05-27,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,17:50,2025-05-27,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,19:50,2025-05-27,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,16:00,2025-05-27,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,18:10,2025-05-27,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,16:00,2025-05-27,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,17:30,2025-05-27,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,06,19:05,2025-05-27,Renoir Princesa
TRAS EL VERANO,Yolanda Centeno,93,03,16:00,2025-05-27,Renoir Princesa
TRAS EL VERANO,Yolanda Centeno,93,01,22:10,2025-05-27,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,02,16:00,2025-05-27,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,02,17:50,2025-05-27,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,11,22:10,2025-05-27,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,16:00,2025-05-27,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,17:55,2025-05-27,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,19:50,2025-05-27,Renoir Princesa
WARFARE: TIEMPO DE GUERRA,"Alex Garland, Ray Mendoza",95,04,22:45,2025-05-27,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,01,17:45,2025-05-28,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,03,21:50,2025-05-28,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,16:10,2025-05-28,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,04,18:35,2025-05-28,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,20:20,2025-05-28,Renoir Princesa
ANORA,Sean Baker,139,08,20:30,2025-05-28,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,10,21:50,2025-05-28,Renoir Princesa
CÓNCLAVE,Edward Berger,120,08,18:15,2025-05-28,Renoir Princesa
ESTOCOLMO 1520. EL REY TIRANO,Mikael Håfström,117,08,16:00,2025-05-28,Renoir Princesa
HOMBRES ÍNTEGROS,Alejandro AndraPease,89,02,19:40,2025-05-28,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,16:00,2025-05-28,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,18:10,2025-05-28,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,20:20,2025-05-28,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,22:30,2025-05-28,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,16:00,2025-05-28,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,20:20,2025-05-28,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,16:00,2025-05-28,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,17:45,2025-05-28,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,20:10,2025-05-28,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,22:00,2025-05-28,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,16:00,2025-05-28,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,11,19:00,2025-05-28,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,20:35,2025-05-28,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,02,21:35,2025-05-28,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,20:25,2025-05-28,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,22:25,2025-05-28,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,17:50,2025-05-28,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,19:50,2025-05-28,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,16:00,2025-05-28,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,18:10,2025-05-28,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,16:00,2025-05-28,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,17:30,2025-05-28,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,06,19:05,2025-05-28,Renoir Princesa
TRAS EL VERANO,Yolanda Centeno,93,03,16:00,2025-05-28,Renoir Princesa
TRAS EL VERANO,Yolanda Centeno,93,01,22:10,2025-05-28,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,02,16:00,2025-05-28,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,02,17:50,2025-05-28,Renoir Princesa
UN BUEN PADRE,Ronan Tronchot,93,11,22:10,2025-05-28,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,16:00,2025-05-28,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,17:55,2025-05-28,Renoir Princesa
UNA FUNCIÓN INESPERADA,Tony Goldwyn,101,10,19:50,2025-05-28,Renoir Princesa
WARFARE: TIEMPO DE GUERRA,"Alex Garland, Ray Mendoza",95,04,22:45,2025-05-28,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,01,17:45,2025-05-29,Renoir Princesa
A COMPLETE UNKNOWN,James Mangold,141,03,21:50,2025-05-29,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,05,16:10,2025-05-29,Renoir Princesa
ALMUDENA,Azucena Rodríguez,79,04,18:35,2025-05-29,Renoir Princesa
ANORA,Sean Baker,139,08,20:30,2025-05-29,Renoir Princesa
AÚN ESTOY AQUÍ,Walter Salles,138,10,21:50,2025-05-29,Renoir Princesa
CÓNCLAVE,Edward Berger,120,08,18:15,2025-05-29,Renoir Princesa
ESTOCOLMO 1520. EL REY TIRANO,Mikael Håfström,117,08,16:00,2025-05-29,Renoir Princesa
HOMBRES ÍNTEGROS,Alejandro AndraPease,89,02,19:40,2025-05-29,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,16:00,2025-05-29,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,18:10,2025-05-29,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,20:20,2025-05-29,Renoir Princesa
LILO Y STITCH,Dean Fleischer-Camp,107,09,22:30,2025-05-29,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,16:00,2025-05-29,Renoir Princesa
LO QUE QUEDA DE TI,Gala Gracia,91,01,20:20,2025-05-29,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,16:00,2025-05-29,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,17:45,2025-05-29,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,04,20:10,2025-05-29,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,05,22:00,2025-05-29,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,16:00,2025-05-29,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,11,19:00,2025-05-29,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,06,20:35,2025-05-29,Renoir Princesa
MISIÓN IMPOSIBLE: SENTENCIA FINAL,Christopher Mcquarrie,169,02,21:35,2025-05-29,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,20:25,2025-05-29,Renoir Princesa
MUY LEJOS,Gerard Oms,100,07,22:25,2025-05-29,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,17:50,2025-05-29,Renoir Princesa
POR TODO LO ALTO,Emmanuel Courcol,103,03,19:50,2025-05-29,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,16:00,2025-05-29,Renoir Princesa
PRESUNCIÓN DE INOCENCIA,Daniel Auteuil,115,07,18:10,2025-05-29,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,16:00,2025-05-29,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,11,17:30,2025-05-29,Renoir Princesa
THE SLEEPER. EL CARAVAGGIO PERDIDO,Álvaro Longoria,75,06,19:05,2025-05-29,Renoir Princesa
