Pelicula,Sala,Horario,Fecha,Cine,Pelicula_URL,Titulo_Original,Director,Duración,Nacionalidad,Reparto,Sinopsis,Trailer_URL,Poster_URL
Rebuilding (VOSE),02,20:15,2026-06-24,Golem Madrid,https://golem.es/golem/pelicula/Rebuilding-(V.O.S.E.),Rebuilding,Max Walker-Silverman,96 min.,USA,"Josh O'Connor, Eli Malouff, Meghann Fahy, Amy Madigan, Lily LaTorre, Kali Reis","Cuando un incendio forestal arrasa su rancho, Dusty (Josh O’Connor) se ve obligado a empezar de cero en un campamento de caravanas habilitado por el gobierno. En medio del dolor, encuentra una inesperada red de apoyo en sus nuevos vecinos, entre quienes destaca una joven que acaba de perder a su marido (Kali Reis). Entretanto, intenta recomponer la relación con su hija (Lily LaTorre), su exmujer (Meghann Fahy) y su empática exsuegra (Amy Madigan). Estrenada en el Festival de Sundance y galardonada con el Premio del Público en el Americana, Rebuilding ofrece una mirada serena, sensible y poética a una tragedia, un paisaje y una forma de vida, avivando la reflexión y la esperanza.",https://www.youtube.com/embed/LeAsRl7y32k?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/May/hd-1778155763.jpg
Rebuilding (VOSE),02,22:15,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/Rebuilding-(V.O.S.E.),Rebuilding,Max Walker-Silverman,96 min.,USA,"Josh O'Connor, Eli Malouff, Meghann Fahy, Amy Madigan, Lily LaTorre, Kali Reis","Cuando un incendio forestal arrasa su rancho, Dusty (Josh O’Connor) se ve obligado a empezar de cero en un campamento de caravanas habilitado por el gobierno. En medio del dolor, encuentra una inesperada red de apoyo en sus nuevos vecinos, entre quienes destaca una joven que acaba de perder a su marido (Kali Reis). Entretanto, intenta recomponer la relación con su hija (Lily LaTorre), su exmujer (Meghann Fahy) y su empática exsuegra (Amy Madigan). Estrenada en el Festival de Sundance y galardonada con el Premio del Público en el Americana, Rebuilding ofrece una mirada serena, sensible y poética a una tragedia, un paisaje y una forma de vida, avivando la reflexión y la esperanza.",https://www.youtube.com/embed/LeAsRl7y32k?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/May/hd-1778155763.jpg
Caso 137 (VOSE),05,19:00,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/Caso-137-(V.O.S.E.),Dossier 137,Dóminik Moll,116 min.,FRANCIA,"Léa Drucker, Jonathan Turnbull, Mathilde Roehrich","Del director de ""La noche del 12"". Stéphanie, agente de policía de Asuntos Internos, es asignada a un caso relacionado con un joven gravemente herido durante una tensa y caótica manifestación en París. Si bien no encuentra pruebas de violencia policial ilegítima, el caso adquiere un cariz personal al descubrir que la víctima es de su ciudad natal y transformará el caso 137 en algo más que un simple número.",https://www.youtube.com/embed/9ypkWN-t3LM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/May/hd-1778224353.jpg
Rebuilding (VOSE),02,20:15,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/Rebuilding-(V.O.S.E.),Rebuilding,Max Walker-Silverman,96 min.,USA,"Josh O'Connor, Eli Malouff, Meghann Fahy, Amy Madigan, Lily LaTorre, Kali Reis","Cuando un incendio forestal arrasa su rancho, Dusty (Josh O’Connor) se ve obligado a empezar de cero en un campamento de caravanas habilitado por el gobierno. En medio del dolor, encuentra una inesperada red de apoyo en sus nuevos vecinos, entre quienes destaca una joven que acaba de perder a su marido (Kali Reis). Entretanto, intenta recomponer la relación con su hija (Lily LaTorre), su exmujer (Meghann Fahy) y su empática exsuegra (Amy Madigan). Estrenada en el Festival de Sundance y galardonada con el Premio del Público en el Americana, Rebuilding ofrece una mirada serena, sensible y poética a una tragedia, un paisaje y una forma de vida, avivando la reflexión y la esperanza.",https://www.youtube.com/embed/LeAsRl7y32k?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/May/hd-1778155763.jpg
Iván & Hadoum,01,20:15,2026-06-25,Golem Madrid,,,,,,,,,
Caso 137 (VOSE),05,21:30,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/Caso-137-(V.O.S.E.),Dossier 137,Dóminik Moll,116 min.,FRANCIA,"Léa Drucker, Jonathan Turnbull, Mathilde Roehrich","Del director de ""La noche del 12"". Stéphanie, agente de policía de Asuntos Internos, es asignada a un caso relacionado con un joven gravemente herido durante una tensa y caótica manifestación en París. Si bien no encuentra pruebas de violencia policial ilegítima, el caso adquiere un cariz personal al descubrir que la víctima es de su ciudad natal y transformará el caso 137 en algo más que un simple número.",https://www.youtube.com/embed/9ypkWN-t3LM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/May/hd-1778224353.jpg
La Luz,04,21:30,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/La-Luz,,,,,,,,
Rebuilding (VOSE),02,16:10,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/Rebuilding-(V.O.S.E.),Rebuilding,Max Walker-Silverman,96 min.,USA,"Josh O'Connor, Eli Malouff, Meghann Fahy, Amy Madigan, Lily LaTorre, Kali Reis","Cuando un incendio forestal arrasa su rancho, Dusty (Josh O’Connor) se ve obligado a empezar de cero en un campamento de caravanas habilitado por el gobierno. En medio del dolor, encuentra una inesperada red de apoyo en sus nuevos vecinos, entre quienes destaca una joven que acaba de perder a su marido (Kali Reis). Entretanto, intenta recomponer la relación con su hija (Lily LaTorre), su exmujer (Meghann Fahy) y su empática exsuegra (Amy Madigan). Estrenada en el Festival de Sundance y galardonada con el Premio del Público en el Americana, Rebuilding ofrece una mirada serena, sensible y poética a una tragedia, un paisaje y una forma de vida, avivando la reflexión y la esperanza.",https://www.youtube.com/embed/LeAsRl7y32k?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/May/hd-1778155763.jpg
"Eleonora Duse, la divina (VOSE)",03,19:00,2026-06-25,Golem Madrid,,,,,,,,,
"Eleonora Duse, la divina (VOSE)",03,21:30,2026-06-25,Golem Madrid,,,,,,,,,
Rebuilding (VOSE),02,18:15,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/Rebuilding-(V.O.S.E.),Rebuilding,Max Walker-Silverman,96 min.,USA,"Josh O'Connor, Eli Malouff, Meghann Fahy, Amy Madigan, Lily LaTorre, Kali Reis","Cuando un incendio forestal arrasa su rancho, Dusty (Josh O’Connor) se ve obligado a empezar de cero en un campamento de caravanas habilitado por el gobierno. En medio del dolor, encuentra una inesperada red de apoyo en sus nuevos vecinos, entre quienes destaca una joven que acaba de perder a su marido (Kali Reis). Entretanto, intenta recomponer la relación con su hija (Lily LaTorre), su exmujer (Meghann Fahy) y su empática exsuegra (Amy Madigan). Estrenada en el Festival de Sundance y galardonada con el Premio del Público en el Americana, Rebuilding ofrece una mirada serena, sensible y poética a una tragedia, un paisaje y una forma de vida, avivando la reflexión y la esperanza.",https://www.youtube.com/embed/LeAsRl7y32k?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/May/hd-1778155763.jpg
La Luz,04,16:30,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/La-Luz,,,,,,,,
Los ilusos 13 + 13,01,18:15,2026-06-25,Golem Madrid,,,,,,,,,
La Luz,04,19:00,2026-06-25,Golem Madrid,https://golem.es/golem/pelicula/La-Luz,,,,,,,,
Iván & Hadoum,01,22:15,2026-06-25,Golem Madrid,,,,,,,,,
"Eleonora Duse, la divina (VOSE)",03,16:30,2026-06-25,Golem Madrid,,,,,,,,,
Iván & Hadoum,01,16:10,2026-06-25,Golem Madrid,,,,,,,,,
La casa del bosque 2 (VOSE),01,19:30,2026-06-27,Golem Madrid,https://golem.es/golem/pelicula/La-casa-del-bosque-2-(V.O.S.E.),La Maison des bois 2,Maurice Pialat,169 min.,FRANCIA,"Pierre Doris, Jacqueline Dufranne, Agathe Natanson","EPISODIOS DEL 5 AL 7 Crónica realista de la vida diaria durante la I Guerra Mundial. La familia de un guardabosques recoge a varios niños refugiados debido al conflicto. Todos comparten la vida de la aldea rural, la escuela, etc. mientras esperan con interés las noticias del frente.",https://www.youtube.com/embed/8IHCYvLZi1c?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/June/hd-1781860496-13329.jpg
La casa del bosque 1 (VOSE),01,16:00,2026-06-28,Golem Madrid,https://golem.es/golem/pelicula/La-casa-del-bosque-1-(V.O.S.E.),La Maison des bois 1,Maurice Pialat,195 min.,FRANCIA,"Pierre Doris, Jacqueline Dufranne, Agathe Natanson","EPISODIOS DEL 1 AL 4 Crónica realista de la vida diaria durante la I Guerra Mundial. La familia de un guardabosques recoge a varios niños refugiados debido al conflicto. Todos comparten la vida de la aldea rural, la escuela, etc. mientras esperan con interés las noticias del frente.",https://www.youtube.com/embed/8IHCYvLZi1c?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/June/hd-1781860473-13330.jpg
La casa del bosque 2 (VOSE),01,19:30,2026-06-28,Golem Madrid,https://golem.es/golem/pelicula/La-casa-del-bosque-2-(V.O.S.E.),La Maison des bois 2,Maurice Pialat,169 min.,FRANCIA,"Pierre Doris, Jacqueline Dufranne, Agathe Natanson","EPISODIOS DEL 5 AL 7 Crónica realista de la vida diaria durante la I Guerra Mundial. La familia de un guardabosques recoge a varios niños refugiados debido al conflicto. Todos comparten la vida de la aldea rural, la escuela, etc. mientras esperan con interés las noticias del frente.",https://www.youtube.com/embed/8IHCYvLZi1c?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/June/hd-1781860496-13329.jpg
