Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
"Warhol-Vijande: Más que pistolas, cuchillos y cruces",,70,05,16:00,2025-11-04,Golem Madrid
Springsteen: Deliver Me From Nowhere (VOSE),,119,03,17:00,2025-11-05,Golem Madrid
Los Domingos,,116,02,16:30,2025-11-05,Golem Madrid
Un simple accidente (VOSE),,105,01,18:00,2025-11-05,Golem Madrid
Los Domingos,,116,02,22:00,2025-11-05,Golem Madrid
Los Domingos,,116,02,19:30,2025-11-05,Golem Madrid
Un simple accidente (VOSE),,105,04,20:15,2025-11-05,Golem Madrid
"Warhol-Vijande: Más que pistolas, cuchillos y cruces",,70,05,16:00,2025-11-05,Golem Madrid
Un simple accidente (VOSE),,105,04,22:15,2025-11-05,Golem Madrid
Recién nacidas (VOSE),,105,03,22:15,2025-11-05,Golem Madrid
Recién nacidas (VOSE),,105,04,16:00,2025-11-05,Golem Madrid
Esa cosa con alas (VOSE),,97,04,18:00,2025-11-05,Golem Madrid
Recién nacidas (VOSE),,105,05,20:00,2025-11-05,Golem Madrid
Monsieur Aznavour (VOSE),,133,05,17:30,2025-11-05,Golem Madrid
Esa cosa con alas (VOSE),,97,05,22:15,2025-11-05,Golem Madrid
Una batalla tras otra (VOSE),,161,01,20:15,2025-11-05,Golem Madrid
Springsteen: Deliver Me From Nowhere (VOSE),,119,03,19:30,2025-11-05,Golem Madrid
Un simple accidente (VOSE),,105,01,16:00,2025-11-05,Golem Madrid
Los Domingos,,116,05,16:30,2025-11-06,Golem Madrid
Recién nacidas (VOSE),,105,03,22:15,2025-11-06,Golem Madrid
Un simple accidente (VOSE),,105,01,18:00,2025-11-06,Golem Madrid
Springsteen: Deliver Me From Nowhere (VOSE),,119,03,17:00,2025-11-06,Golem Madrid
XXVI Ciclo Cine Foro: Yo Capitán (VOSE),,122,02,19:00,2025-11-06,Golem Madrid
Un simple accidente (VOSE),,105,01,16:00,2025-11-06,Golem Madrid
Una batalla tras otra (VOSE),,161,04,20:15,2025-11-06,Golem Madrid
Esa cosa con alas (VOSE),,97,04,18:00,2025-11-06,Golem Madrid
Los Domingos,,116,05,22:00,2025-11-06,Golem Madrid
Un simple accidente (VOSE),,105,01,22:15,2025-11-06,Golem Madrid
Springsteen: Deliver Me From Nowhere (VOSE),,119,03,19:30,2025-11-06,Golem Madrid
Monsieur Aznavour (VOSE),,133,02,16:30,2025-11-06,Golem Madrid
Recién nacidas (VOSE),,105,04,16:00,2025-11-06,Golem Madrid
Los Domingos,,116,05,19:30,2025-11-06,Golem Madrid
