Pelicula,Sala,Horario,Fecha,Cine,Pelicula_URL,Titulo_Original,Director,Duración,Nacionalidad,Reparto,Sinopsis,Trailer_URL,Poster_URL
Amarga Navidad,02,17:00,2026-03-20,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
La hija pequeña (VOSE),01,21:30,2026-03-20,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
Amarga Navidad,05,18:15,2026-03-20,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Amarga Navidad,02,19:30,2026-03-20,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Amarga Navidad,02,22:00,2026-03-20,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
El agente secreto (VOSE),05,20:30,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/El-agente-secreto-(V.O.S.E.),O Agente Secreto,Kleber Mendonça Filho,161 min.,"Francia, Brasi","Wagner Moura, Maria Fernanda Cândido, Gabriel Leone, Carlos Francisco, Alice Carvalho","Un profesor universitario viaja desde São Paulo a la ciudad costera de Recife durante la semana de Carnaval con la esperanza de reencontrarse con su hijo. Pronto descubre que es seguido y vigilado por los vecinos de su nuevo refugio, sin escapatoria de las garras de la corrupción.",https://www.youtube.com/embed/eEIpEQ7eAV0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807418-12879.jpg
Águilas de El Cairo (VOSE),03,19:00,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/Aguilas-de-El-Cairo-(V.O.S.E.),,,,,,,,
El último vikingo (VOSE),04,19:30,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/El-ultimo-vikingo-(V.O.S.E.),,,,,,,,
Amarga Navidad,05,18:15,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Águilas de El Cairo (VOSE),03,16:30,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/Aguilas-de-El-Cairo-(V.O.S.E.),,,,,,,,
La hija pequeña (VOSE),01,21:30,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
El último vikingo (VOSE),04,22:00,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/El-ultimo-vikingo-(V.O.S.E.),,,,,,,,
El agente secreto (VOSE),04,16:15,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/El-agente-secreto-(V.O.S.E.),O Agente Secreto,Kleber Mendonça Filho,161 min.,"Francia, Brasi","Wagner Moura, Maria Fernanda Cândido, Gabriel Leone, Carlos Francisco, Alice Carvalho","Un profesor universitario viaja desde São Paulo a la ciudad costera de Recife durante la semana de Carnaval con la esperanza de reencontrarse con su hijo. Pronto descubre que es seguido y vigilado por los vecinos de su nuevo refugio, sin escapatoria de las garras de la corrupción.",https://www.youtube.com/embed/eEIpEQ7eAV0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807418-12879.jpg
No hay otra opción (VOSE),03,21:30,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/No-hay-otra-opcion-(V.O.S.E.),,,,,,,,
Amarga Navidad,05,16:00,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
La hija pequeña (VOSE),01,19:00,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
Amarga Navidad,02,22:00,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Amarga Navidad,02,17:00,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Amarga Navidad,02,19:30,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
La hija pequeña (VOSE),01,16:30,2026-03-21,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
Águilas de El Cairo (VOSE),03,19:00,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/Aguilas-de-El-Cairo-(V.O.S.E.),,,,,,,,
Amarga Navidad,05,16:00,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Amarga Navidad,02,17:00,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Amarga Navidad,02,19:30,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
El agente secreto (VOSE),05,20:30,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/El-agente-secreto-(V.O.S.E.),O Agente Secreto,Kleber Mendonça Filho,161 min.,"Francia, Brasi","Wagner Moura, Maria Fernanda Cândido, Gabriel Leone, Carlos Francisco, Alice Carvalho","Un profesor universitario viaja desde São Paulo a la ciudad costera de Recife durante la semana de Carnaval con la esperanza de reencontrarse con su hijo. Pronto descubre que es seguido y vigilado por los vecinos de su nuevo refugio, sin escapatoria de las garras de la corrupción.",https://www.youtube.com/embed/eEIpEQ7eAV0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807418-12879.jpg
Amarga Navidad,02,22:00,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Águilas de El Cairo (VOSE),03,16:30,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/Aguilas-de-El-Cairo-(V.O.S.E.),,,,,,,,
No hay otra opción (VOSE),03,21:30,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/No-hay-otra-opcion-(V.O.S.E.),,,,,,,,
Amarga Navidad,05,18:15,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
La hija pequeña (VOSE),01,21:30,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
El último vikingo (VOSE),04,22:00,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/El-ultimo-vikingo-(V.O.S.E.),,,,,,,,
El último vikingo (VOSE),04,19:30,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/El-ultimo-vikingo-(V.O.S.E.),,,,,,,,
La hija pequeña (VOSE),01,19:00,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
El agente secreto (VOSE),04,16:15,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/El-agente-secreto-(V.O.S.E.),O Agente Secreto,Kleber Mendonça Filho,161 min.,"Francia, Brasi","Wagner Moura, Maria Fernanda Cândido, Gabriel Leone, Carlos Francisco, Alice Carvalho","Un profesor universitario viaja desde São Paulo a la ciudad costera de Recife durante la semana de Carnaval con la esperanza de reencontrarse con su hijo. Pronto descubre que es seguido y vigilado por los vecinos de su nuevo refugio, sin escapatoria de las garras de la corrupción.",https://www.youtube.com/embed/eEIpEQ7eAV0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807418-12879.jpg
La hija pequeña (VOSE),01,16:30,2026-03-22,Golem Madrid,https://golem.es/golem/pelicula/La-hija-pequena-(V.O.S.E.),,,,,,,,
Amarga Navidad,05,16:00,2026-03-23,Golem Madrid,https://golem.es/golem/pelicula/Amarga-Navidad,Amarga Navidad,Pedro Almodóvar,,ESPAÃA,"Bárbara Lennie, Leonardo Sbaraglia, Aitana Sánchez-Gijón, Victoria Luengo y Patrick Criado","Elsa es una directora de publicidad cuya madre muere durante un largo puente del mes de diciembre. Encuentra refugio en el trabajo, aunque es más bien una huida hacia adelante. Trabaja sin parar y, sin darse cuenta, no se concede el tiempo necesario para guardar el duelo por la ausencia materna. Hasta que una crisis de pánico la obliga a detenerse e imponerse un descanso. Su pareja, Bonifacio, es su tabla de salvación en esos momentos de crisis. Elsa decide viajar a la isla de Lanzarote acompañada por su amiga Patricia, que también necesita alejarse de Madrid, mientras que Bonifacio se queda en la ciudad. La historia de estos tres personajes, y algunos más, se narran paralelamente a la del guionista y director de cine Raúl Durán, entremezclando ficción y realidad. Porque ‘Amarga Navidad’ desarrolla cómo la vida y la ficción están unidas de un modo indisoluble, incluso doloroso en ocasiones.",https://www.youtube.com/embed/SNbVMk-nLu4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1771945530-12938.jpg
Soñando con leones,02,20:00,2026-03-23,Golem Madrid,https://golem.es/golem/pelicula/Sonando-con-leones,,,,,,,,
